Address,City,State,Zip,Latitude,Longitude
4444 W. Lawrence Ave.,Chicago,IL,60630,41.96822423,-87.73974749
2800 W. Montrose Ave.,Chicago,IL,60618,41.96135865,-87.69854417
2815 W. 79th St.,Chicago,IL,60652,41.74972646,-87.69327334
8440 S. Parnell Ave.,Chicago,IL,60620,41.74018636,-87.63781991
1222 W. 79th St.,Chicago,IL,60620,41.75059341,-87.65472675
1050 W. 79th St.,Chicago,IL,60620,41.75064862,-87.65092232
8019-55 S. Halsted St.,Chicago,IL,60620,41.74822238,-87.6438257
1626 W. 87th St.,Chicago,IL,60620,41.73588515,-87.66414272
557 N. Pine Ave.,Chicago,IL,60644,41.8905194,-87.76324864
335 N. Menard Ave.,Chicago,IL,60644,41.88673275,-87.76983958
1816 N. St. Louis Ave.,Chicago,IL,60647,41.91394164,-87.71398319
334 N. Menard Ave.,Chicago,IL,60644,41.88672742,-87.77013329
126 S. Central Ave.,Chicago,IL,60644,41.87849467,-87.76494803
223-9 S. Central Ave.,Chicago,IL,60644,41.87759814,-87.76461864
5565-71 W. Quincy Ave.,Chicago,IL,60644,41.8773375,-87.76423685
504 S. Laramie Ave.,Chicago,IL,60644,41.87376512,-87.7549712
4623 W. Gladys Ave.,Chicago,IL,60644,41.87586178,-87.74131396
4650 W. Van Buren St.,Chicago,IL,60644,41.87516676,-87.74216784
1200 E. 78th St.,Chicago,IL,60619,41.75332086,-87.5954564
6045 W. Grand Ave.,Chicago,IL,60639,41.92079101,-87.77747755
2715 N. Cicero Ave.,Chicago,IL,60639,41.93012657,-87.74638854
5038 W. Armitage Ave.,Chicago,IL,60639,41.91696054,-87.75247249
2825 S. Halsted St.,Chicago,IL,60608,41.84272915,-87.64624727
8200 S. Ellis Ave.,Chicago,IL,60619,41.74575696,-87.60031991
8300 S. Cottage Grove Ave.,Chicago,IL,60619,41.74387382,-87.60517616
3214 W. 63rd Place,Chicago,IL,60629,41.77814486,-87.70387541
7430 S. Rockwell St.,Chicago,IL,60629,41.75815411,-87.68810611
2626 W. 63rd St.,Chicago,IL,60629,41.77928099,-87.68967949
2626 W. 63rd St.,Chicago,IL,60629,41.77928099,-87.68967949
3845 S. State St.,Chicago,IL,60609,41.82420114,-87.62627123
17 W. 36th St.,Chicago,IL,60609,41.82906211,-87.62716568
3604 S. State St.,Chicago,IL,60609,41.82901759,-87.62666295
3612 S. State St.,Chicago,IL,60609,41.82873626,-87.62665512
3640 S. State St.,Chicago,IL,60609,41.82792531,-87.62663572
3506 S. State St.,Chicago,IL,60609,41.83078218,-87.62679018
2600 S. King Dr.,Chicago,IL,60616,41.84565291,-87.61781639
3800 S. King Dr.,Chicago,IL,60653,41.825556,-87.61717842
340 E. 38th St.,Chicago,IL,60653,41.82575322,-87.61751743
3333 W. Maypole Ave.,Chicago,IL,60624,41.95769221,-87.79754403
15 S. Homan Ave.,Chicago,IL,60624,41.88346519,-87.71003991
2800 W. Fulton St.,Chicago,IL,60612,41.88041381,-87.71084273
750 S. Homan Ave.,Chicago,IL,60624,41.87753589,-87.69706305
