NAME ,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,LATITUDE,LONGITUDE,VENUE TYPE
Altgeld,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",13281 S. Corliss Avenue,CHICAGO,IL,60827,(312) 747-3270,http://www.chipublib.org/branch/details/library/altgeld/,41.65473022,-87.60223026,library
Archer Heights,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",5055 S. Archer Avenue,CHICAGO,IL,60632,(312) 747-9241,http://www.chipublib.org/branch/details/library/archer-heights/,41.80121366,-87.72649071,library
Austin,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",5615 W. Race Avenue,CHICAGO,IL,60644,(312) 746-5038,http://www.chipublib.org/branch/details/library/austin/,41.88927215,-87.76571187,library
Austin-Irving,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",6100 W. Irving Park Road,CHICAGO,IL,60634,(312) 744-6222,http://www.chipublib.org/branch/details/library/austin-irving/,41.9531739,-87.77938682,library
Avalon,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",8148 S. Stony Island Avenue ,CHICAGO,IL,60617,(312) 747-5234,http://www.chipublib.org/branch/details/library/avalon/,41.74671722,-87.58539659,library
Beverly,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",1962 W. 95th Street,CHICAGO,IL,60643,(312) 747-9673,http://www.chipublib.org/branch/details/library/beverly/,41.72118051,-87.67194646,library
Bezazian,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",1226 W. Ainslie Street,CHICAGO,IL,60640,(312) 744-0019,http://www.chipublib.org/branch/details/library/bezazian/,41.97168195,-87.66073027,library
Blackstone,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",4904 S. Lake Park Avenue,CHICAGO,IL,60615,(312) 747-0511,http://www.chipublib.org/branch/details/library/blackstone/,41.80584031,-87.58934182,library
Brainerd,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",1350 W. 89th Street,CHICAGO,IL,60620,(312) 747-6291,http://www.chipublib.org/branch/details/library/brainerd/,41.73231676,-87.65723452,library
Brighton Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",4314 S. Archer Avenue,CHICAGO,IL,60632,(312) 747-0666,http://www.chipublib.org/branch/details/library/brighton-park/,41.81513879,-87.70265432,library
Bucktown-Wicker Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",1701 N. Milwaukee Avenue,CHICAGO,IL,60647,(312) 744-6022,http://www.chipublib.org/branch/details/library/bucktown-wicker-park/,41.9127224,-87.6805873,library
Budlong Woods,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",5630 N. Lincoln Avenue,CHICAGO,IL,60659,(312) 742-9590,http://www.chipublib.org/branch/details/library/budlong-woods/,41.98457226,-87.69773449,library
Canaryville,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",642 W. 43rd Street,CHICAGO,IL,60609,(312) 747-0644,http://www.chipublib.org/branch/details/library/canaryville/,41.81550568,-87.64250101,library
Chicago Bee,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",3647 S. State Street,CHICAGO,IL,60609,(312) 747-6872,http://www.chipublib.org/branch/details/library/chicago-bee/,41.82842687,-87.62640222,library
Chicago Lawn,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",6120 S. Kedzie Avenue ,CHICAGO,IL,60629,(312) 747-0639,http://www.chipublib.org/branch/details/library/chicago-lawn/,41.78180788,-87.70326162,library
Chinatown,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",2353 S. Wentworth Avenue,CHICAGO,IL,60616,(312) 747-8013,http://www.chipublib.org/branch/details/library/chinatown/,41.8497535,-87.63190001,library
Clearing,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",6423 W. 63rd Place,CHICAGO,IL,60638,(312) 747-5657,http://www.chipublib.org/branch/details/library/clearing/,41.77678206,-87.78181979,library
Coleman,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",731 E. 63rd Street,CHICAGO,IL,60637,(312) 747-7760,http://www.chipublib.org/branch/details/library/bessie-coleman/,41.78037301,-87.60715724,library
"Daley, Richard J.-Bridgeport","M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",3400 S. Halsted Street,CHICAGO,IL,60608,(312) 747-8990,http://www.chipublib.org/branch/details/library/daley/,41.83228703,-87.64648501,library
